Usage_time,Battery,Temp1,Temp2,Temp3,LFoot_x,LFoot_y,LFoot_z,RFoot_x,RFoot_y,RFoot_z,LFootCOP_x,LFootCOP_y,RFootCOP_x,RFootCOP_y,LFootCOP_value,LFootCOP_vector_x,LFootCOP_vector_y,RFootCOP_value,RFootCOP_vector_x,RFootCOP_vector_y,LFoot_time_travel,RFoot_time_travel,LH_Abd_Temp,LH_Rot_Temp,LH_Flex_Temp,LK_Temp,LA_Lat_Temp,LA_Med_Temp,RH_Abd_Temp,RH_Rot_Temp,RH_Flex_Temp,RK_Temp,RA_Lat_Temp,RA_Med_Temp,LH_Abd_Amp,LH_Rot_Amp,LH_Flex_Amp,LK_Amp,LA_Lat_Amp,LA_Med_Amp,RH_Abd_Amp,RH_Rot_Amp,RH_Flex_Amp,RK_Amp,RA_Lat_Amp,RA_Med_Amp
00:00:13:225,93,28.0,27.0,91.0,25300.0,0.0,0.0,25400.0,0.0,0.0,-46.0,62.0,12.0,71.0,14.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,94.0,0.0,59.0,39.0,95.0,4.0,34.0,37.0,93.0,65.0,2.0,82.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0
00:00:13:278,93,28.0,27.0,91.0,25500.0,0.0,0.0,25400.0,0.0,0.0,-46.0,62.0,41.0,37.0,0.0,30.0,30.0,30.0,30.0,-30.0,3.0,3.0,94.0,0.0,59.0,39.0,95.0,4.0,34.0,37.0,93.0,65.0,2.0,82.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0
00:00:13:329,93,28.0,27.0,91.0,25500.0,0.0,0.0,25600.0,0.0,0.0,-30.0,1.0,41.0,37.0,22.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,94.0,0.0,59.0,39.0,95.0,4.0,34.0,37.0,93.0,65.0,2.0,82.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0
00:00:13:380,93,28.0,27.0,91.0,25700.0,0.0,0.0,25600.0,0.0,0.0,-30.0,1.0,-37.0,-63.0,0.0,30.0,30.0,21.0,30.0,-30.0,3.0,3.0,94.0,0.0,59.0,39.0,95.0,4.0,34.0,37.0,93.0,65.0,2.0,82.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0
00:00:13:433,93,28.0,27.0,91.0,25700.0,0.0,0.0,25800.0,0.0,0.0,143.0,-11.0,-37.0,-63.0,30.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,94.0,0.0,59.0,39.0,95.0,4.0,34.0,37.0,93.0,65.0,2.0,82.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0
00:00:13:486,93,28.0,27.0,91.0,25900.0,0.0,0.0,25800.0,0.0,0.0,143.0,-11.0,115.0,72.0,0.0,30.0,30.0,24.0,30.0,-30.0,3.0,3.0,94.0,0.0,59.0,39.0,95.0,4.0,34.0,37.0,93.0,65.0,2.0,82.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0
00:00:13:537,93,28.0,27.0,91.0,25900.0,0.0,0.0,26000.0,0.0,0.0,214.0,-47.0,115.0,72.0,21.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,94.0,0.0,59.0,39.0,95.0,4.0,34.0,37.0,93.0,65.0,2.0,82.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0
00:00:13:560,93,7.0,56.0,4.0,25900.0,0.0,0.0,26000.0,0.0,0.0,214.0,-47.0,115.0,72.0,21.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,62.0,46.0,16.0,60.0,83.0,34.0,43.0,61.0,6.0,77.0,74.0,81.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0
00:00:13:591,93,7.0,56.0,4.0,26100.0,0.0,0.0,26000.0,0.0,0.0,214.0,-47.0,-11.0,-62.0,0.0,30.0,30.0,24.0,30.0,-30.0,3.0,3.0,62.0,46.0,16.0,60.0,83.0,34.0,43.0,61.0,6.0,77.0,74.0,81.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0
00:00:13:641,93,7.0,56.0,4.0,26100.0,0.0,0.0,26200.0,0.0,0.0,217.0,76.0,-11.0,-62.0,29.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,62.0,46.0,16.0,60.0,83.0,34.0,43.0,61.0,6.0,77.0,74.0,81.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0
00:00:13:693,93,7.0,56.0,4.0,26300.0,0.0,0.0,26200.0,0.0,0.0,217.0,76.0,28.0,-70.0,0.0,30.0,30.0,20.0,30.0,-30.0,3.0,3.0,62.0,46.0,16.0,60.0,83.0,34.0,43.0,61.0,6.0,77.0,74.0,81.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0
00:00:13:744,93,7.0,56.0,4.0,26300.0,0.0,0.0,26400.0,0.0,0.0,28.0,-69.0,28.0,-70.0,12.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,62.0,46.0,16.0,60.0,83.0,34.0,43.0,61.0,6.0,77.0,74.0,81.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0
00:00:13:796,93,7.0,56.0,4.0,26500.0,0.0,0.0,26400.0,0.0,0.0,28.0,-69.0,131.0,-27.0,0.0,30.0,30.0,22.0,30.0,-30.0,3.0,3.0,62.0,46.0,16.0,60.0,83.0,34.0,43.0,61.0,6.0,77.0,74.0,81.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0
00:00:13:848,93,7.0,56.0,4.0,26500.0,0.0,0.0,26600.0,0.0,0.0,72.0,61.0,131.0,-27.0,13.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,62.0,46.0,16.0,60.0,83.0,34.0,43.0,61.0,6.0,77.0,74.0,81.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0
00:00:13:901,93,7.0,56.0,4.0,26700.0,0.0,0.0,26600.0,0.0,0.0,72.0,61.0,-48.0,18.0,0.0,30.0,30.0,16.0,30.0,-30.0,3.0,3.0,62.0,46.0,16.0,60.0,83.0,34.0,43.0,61.0,6.0,77.0,74.0,81.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0
00:00:13:953,93,7.0,56.0,4.0,26700.0,0.0,0.0,26800.0,0.0,0.0,-38.0,6.0,-48.0,18.0,22.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,62.0,46.0,16.0,60.0,83.0,34.0,43.0,61.0,6.0,77.0,74.0,81.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0
00:00:14:008,93,7.0,56.0,4.0,26900.0,0.0,0.0,26800.0,0.0,0.0,-38.0,6.0,166.0,-57.0,0.0,30.0,30.0,27.0,30.0,-30.0,3.0,3.0,62.0,46.0,16.0,60.0,83.0,34.0,43.0,61.0,6.0,77.0,74.0,81.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0
00:00:14:024,92,7.0,56.0,4.0,26900.0,0.0,0.0,26800.0,0.0,0.0,-38.0,6.0,166.0,-57.0,0.0,30.0,30.0,27.0,30.0,-30.0,3.0,3.0,62.0,46.0,16.0,60.0,83.0,34.0,43.0,61.0,6.0,77.0,74.0,81.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
00:00:14:061,92,7.0,56.0,4.0,26900.0,0.0,0.0,27000.0,0.0,0.0,142.0,-4.0,166.0,-57.0,27.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,62.0,46.0,16.0,60.0,83.0,34.0,43.0,61.0,6.0,77.0,74.0,81.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
00:00:14:066,92,64.0,57.0,81.0,26900.0,0.0,0.0,27000.0,0.0,0.0,142.0,-4.0,166.0,-57.0,27.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,100.0,65.0,40.0,18.0,8.0,93.0,17.0,10.0,59.0,54.0,12.0,39.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
00:00:14:108,92,64.0,57.0,81.0,27100.0,0.0,0.0,27000.0,0.0,0.0,142.0,-4.0,12.0,-77.0,0.0,30.0,30.0,12.0,30.0,-30.0,3.0,3.0,100.0,65.0,40.0,18.0,8.0,93.0,17.0,10.0,59.0,54.0,12.0,39.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
00:00:14:159,92,64.0,57.0,81.0,27100.0,0.0,0.0,27200.0,0.0,0.0,192.0,59.0,12.0,-77.0,10.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,100.0,65.0,40.0,18.0,8.0,93.0,17.0,10.0,59.0,54.0,12.0,39.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
00:00:14:211,92,64.0,57.0,81.0,27300.0,0.0,0.0,27200.0,0.0,0.0,192.0,59.0,-5.0,31.0,0.0,30.0,30.0,20.0,30.0,-30.0,3.0,3.0,100.0,65.0,40.0,18.0,8.0,93.0,17.0,10.0,59.0,54.0,12.0,39.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
00:00:14:263,92,64.0,57.0,81.0,27300.0,0.0,0.0,27400.0,0.0,0.0,-31.0,77.0,-5.0,31.0,19.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,100.0,65.0,40.0,18.0,8.0,93.0,17.0,10.0,59.0,54.0,12.0,39.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
00:00:14:314,92,64.0,57.0,81.0,27500.0,0.0,0.0,27400.0,0.0,0.0,-31.0,77.0,-67.0,-2.0,0.0,30.0,30.0,30.0,30.0,-30.0,3.0,3.0,100.0,65.0,40.0,18.0,8.0,93.0,17.0,10.0,59.0,54.0,12.0,39.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
00:00:14:366,92,64.0,57.0,81.0,27500.0,0.0,0.0,27600.0,0.0,0.0,-53.0,-69.0,-67.0,-2.0,18.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,100.0,65.0,40.0,18.0,8.0,93.0,17.0,10.0,59.0,54.0,12.0,39.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
00:00:14:418,92,64.0,57.0,81.0,27700.0,0.0,0.0,27600.0,0.0,0.0,-53.0,-69.0,31.0,-38.0,0.0,30.0,30.0,30.0,30.0,-30.0,3.0,3.0,100.0,65.0,40.0,18.0,8.0,93.0,17.0,10.0,59.0,54.0,12.0,39.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
00:00:14:470,92,64.0,57.0,81.0,27700.0,0.0,0.0,27800.0,0.0,0.0,212.0,-7.0,31.0,-38.0,27.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,100.0,65.0,40.0,18.0,8.0,93.0,17.0,10.0,59.0,54.0,12.0,39.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
00:00:14:521,92,64.0,57.0,81.0,27900.0,0.0,0.0,27800.0,0.0,0.0,212.0,-7.0,-49.0,-5.0,0.0,30.0,30.0,26.0,30.0,-30.0,3.0,3.0,100.0,65.0,40.0,18.0,8.0,93.0,17.0,10.0,59.0,54.0,12.0,39.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
00:00:14:567,92,95.0,49.0,34.0,27900.0,0.0,0.0,27800.0,0.0,0.0,212.0,-7.0,-49.0,-5.0,0.0,30.0,30.0,26.0,30.0,-30.0,3.0,3.0,91.0,73.0,16.0,99.0,64.0,12.0,26.0,0.0,45.0,97.0,71.0,33.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
00:00:14:573,92,95.0,49.0,34.0,27900.0,0.0,0.0,28000.0,0.0,0.0,199.0,-6.0,-49.0,-5.0,17.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,91.0,73.0,16.0,99.0,64.0,12.0,26.0,0.0,45.0,97.0,71.0,33.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
00:00:14:626,92,95.0,49.0,34.0,28100.0,0.0,0.0,28000.0,0.0,0.0,199.0,-6.0,134.0,61.0,0.0,30.0,30.0,28.0,30.0,-30.0,3.0,3.0,91.0,73.0,16.0,99.0,64.0,12.0,26.0,0.0,45.0,97.0,71.0,33.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
00:00:14:679,92,95.0,49.0,34.0,28100.0,0.0,0.0,28200.0,0.0,0.0,-47.0,-32.0,134.0,61.0,27.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,91.0,73.0,16.0,99.0,64.0,12.0,26.0,0.0,45.0,97.0,71.0,33.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
00:00:14:733,92,95.0,49.0,34.0,28300.0,0.0,0.0,28200.0,0.0,0.0,-47.0,-32.0,126.0,-63.0,0.0,30.0,30.0,30.0,30.0,-30.0,3.0,3.0,91.0,73.0,16.0,99.0,64.0,12.0,26.0,0.0,45.0,97.0,71.0,33.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
00:00:14:784,92,95.0,49.0,34.0,28300.0,0.0,0.0,28400.0,0.0,0.0,-6.0,-15.0,126.0,-63.0,19.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,91.0,73.0,16.0,99.0,64.0,12.0,26.0,0.0,45.0,97.0,71.0,33.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
00:00:14:837,92,95.0,49.0,34.0,28500.0,0.0,0.0,28400.0,0.0,0.0,-6.0,-15.0,135.0,51.0,0.0,30.0,30.0,30.0,30.0,-30.0,3.0,3.0,91.0,73.0,16.0,99.0,64.0,12.0,26.0,0.0,45.0,97.0,71.0,33.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
00:00:14:889,92,95.0,49.0,34.0,28500.0,0.0,0.0,28600.0,0.0,0.0,85.0,13.0,135.0,51.0,30.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,91.0,73.0,16.0,99.0,64.0,12.0,26.0,0.0,45.0,97.0,71.0,33.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
00:00:14:941,92,95.0,49.0,34.0,28700.0,0.0,0.0,28600.0,0.0,0.0,85.0,13.0,34.0,-22.0,0.0,30.0,30.0,16.0,30.0,-30.0,3.0,3.0,91.0,73.0,16.0,99.0,64.0,12.0,26.0,0.0,45.0,97.0,71.0,33.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
00:00:14:994,92,95.0,49.0,34.0,28700.0,0.0,0.0,28800.0,0.0,0.0,-43.0,79.0,34.0,-22.0,24.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,91.0,73.0,16.0,99.0,64.0,12.0,26.0,0.0,45.0,97.0,71.0,33.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
00:00:15:046,92,95.0,49.0,34.0,28900.0,0.0,0.0,28800.0,0.0,0.0,-43.0,79.0,188.0,2.0,0.0,30.0,30.0,14.0,30.0,-30.0,3.0,3.0,91.0,73.0,16.0,99.0,64.0,12.0,26.0,0.0,45.0,97.0,71.0,33.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
00:00:15:070,92,35.0,15.0,58.0,28900.0,0.0,0.0,28800.0,0.0,0.0,-43.0,79.0,188.0,2.0,0.0,30.0,30.0,14.0,30.0,-30.0,3.0,3.0,56.0,56.0,14.0,53.0,82.0,100.0,17.0,78.0,0.0,10.0,93.0,46.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
00:00:15:100,92,35.0,15.0,58.0,28900.0,0.0,0.0,29000.0,0.0,0.0,-36.0,-51.0,188.0,2.0,15.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,56.0,56.0,14.0,53.0,82.0,100.0,17.0,78.0,0.0,10.0,93.0,46.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
00:00:15:152,92,35.0,15.0,58.0,29100.0,0.0,0.0,29000.0,0.0,0.0,-36.0,-51.0,180.0,50.0,0.0,30.0,30.0,20.0,30.0,-30.0,3.0,3.0,56.0,56.0,14.0,53.0,82.0,100.0,17.0,78.0,0.0,10.0,93.0,46.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
00:00:15:205,92,35.0,15.0,58.0,29100.0,0.0,0.0,29200.0,0.0,0.0,-3.0,14.0,180.0,50.0,20.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,56.0,56.0,14.0,53.0,82.0,100.0,17.0,78.0,0.0,10.0,93.0,46.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
00:00:15:257,92,35.0,15.0,58.0,29300.0,0.0,0.0,29200.0,0.0,0.0,-3.0,14.0,224.0,-55.0,0.0,30.0,30.0,20.0,30.0,-30.0,3.0,3.0,56.0,56.0,14.0,53.0,82.0,100.0,17.0,78.0,0.0,10.0,93.0,46.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
00:00:15:310,92,35.0,15.0,58.0,29300.0,0.0,0.0,29400.0,0.0,0.0,-48.0,24.0,224.0,-55.0,16.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,56.0,56.0,14.0,53.0,82.0,100.0,17.0,78.0,0.0,10.0,93.0,46.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
00:00:15:362,92,35.0,15.0,58.0,29500.0,0.0,0.0,29400.0,0.0,0.0,-48.0,24.0,-61.0,-34.0,0.0,30.0,30.0,14.0,30.0,-30.0,3.0,3.0,56.0,56.0,14.0,53.0,82.0,100.0,17.0,78.0,0.0,10.0,93.0,46.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
00:00:15:413,92,35.0,15.0,58.0,29500.0,0.0,0.0,29600.0,0.0,0.0,98.0,-52.0,-61.0,-34.0,16.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,56.0,56.0,14.0,53.0,82.0,100.0,17.0,78.0,0.0,10.0,93.0,46.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
00:00:15:467,92,35.0,15.0,58.0,29700.0,0.0,0.0,29600.0,0.0,0.0,98.0,-52.0,13.0,50.0,0.0,30.0,30.0,19.0,30.0,-30.0,3.0,3.0,56.0,56.0,14.0,53.0,82.0,100.0,17.0,78.0,0.0,10.0,93.0,46.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
00:00:15:518,92,35.0,15.0,58.0,29700.0,0.0,0.0,29800.0,0.0,0.0,-38.0,60.0,13.0,50.0,23.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,56.0,56.0,14.0,53.0,82.0,100.0,17.0,78.0,0.0,10.0,93.0,46.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
00:00:15:569,92,35.0,15.0,58.0,29900.0,0.0,0.0,29800.0,0.0,0.0,-38.0,60.0,72.0,-49.0,0.0,30.0,30.0,30.0,30.0,-30.0,3.0,3.0,56.0,56.0,14.0,53.0,82.0,100.0,17.0,78.0,0.0,10.0,93.0,46.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
00:00:15:588,92,94.0,86.0,51.0,29900.0,0.0,0.0,29800.0,0.0,0.0,-38.0,60.0,72.0,-49.0,0.0,30.0,30.0,30.0,30.0,-30.0,3.0,3.0,37.0,15.0,48.0,70.0,59.0,58.0,99.0,79.0,41.0,89.0,17.0,90.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
00:00:15:624,92,94.0,86.0,51.0,29900.0,0.0,0.0,30000.0,0.0,0.0,189.0,-50.0,72.0,-49.0,14.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,37.0,15.0,48.0,70.0,59.0,58.0,99.0,79.0,41.0,89.0,17.0,90.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
00:00:15:674,92,94.0,86.0,51.0,30100.0,0.0,0.0,30000.0,0.0,0.0,189.0,-50.0,-76.0,18.0,0.0,30.0,30.0,19.0,30.0,-30.0,3.0,3.0,37.0,15.0,48.0,70.0,59.0,58.0,99.0,79.0,41.0,89.0,17.0,90.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
00:00:15:726,92,94.0,86.0,51.0,30100.0,0.0,0.0,30200.0,0.0,0.0,70.0,-59.0,-76.0,18.0,19.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,37.0,15.0,48.0,70.0,59.0,58.0,99.0,79.0,41.0,89.0,17.0,90.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
00:00:15:779,92,94.0,86.0,51.0,30300.0,0.0,0.0,30200.0,0.0,0.0,70.0,-59.0,-55.0,-46.0,0.0,30.0,30.0,18.0,30.0,-30.0,3.0,3.0,37.0,15.0,48.0,70.0,59.0,58.0,99.0,79.0,41.0,89.0,17.0,90.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
00:00:15:831,92,94.0,86.0,51.0,30300.0,0.0,0.0,30400.0,0.0,0.0,-31.0,-72.0,-55.0,-46.0,26.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,37.0,15.0,48.0,70.0,59.0,58.0,99.0,79.0,41.0,89.0,17.0,90.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
