Usage_time,Battery,Temp1,Temp2,Temp3,LFoot_x,LFoot_y,LFoot_z,RFoot_x,RFoot_y,RFoot_z,LFootCOP_x,LFootCOP_y,RFootCOP_x,RFootCOP_y,LFootCOP_value,LFootCOP_vector_x,LFootCOP_vector_y,RFootCOP_value,RFootCOP_vector_x,RFootCOP_vector_y,LFoot_time_travel,RFoot_time_travel,LH_Abd_Temp,LH_Rot_Temp,LH_Flex_Temp,LK_Temp,LA_Lat_Temp,LA_Med_Temp,RH_Abd_Temp,RH_Rot_Temp,RH_Flex_Temp,RK_Temp,RA_Lat_Temp,RA_Med_Temp,LH_Abd_Amp,LH_Rot_Amp,LH_Flex_Amp,LK_Amp,LA_Lat_Amp,LA_Med_Amp,RH_Abd_Amp,RH_Rot_Amp,RH_Flex_Amp,RK_Amp,RA_Lat_Amp,RA_Med_Amp
00:00:06:595,96,54.0,1.0,39.0,12500.0,0.0,0.0,12400.0,0.0,0.0,132.0,-75.0,121.0,-52.0,0.0,30.0,30.0,27.0,30.0,-30.0,3.0,3.0,82.0,62.0,51.0,78.0,95.0,36.0,94.0,31.0,93.0,38.0,59.0,41.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
00:00:06:647,96,54.0,1.0,39.0,12500.0,0.0,0.0,12600.0,0.0,0.0,-32.0,-79.0,121.0,-52.0,21.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,82.0,62.0,51.0,78.0,95.0,36.0,94.0,31.0,93.0,38.0,59.0,41.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
00:00:06:701,96,54.0,1.0,39.0,12700.0,0.0,0.0,12600.0,0.0,0.0,-32.0,-79.0,186.0,64.0,0.0,30.0,30.0,15.0,30.0,-30.0,3.0,3.0,82.0,62.0,51.0,78.0,95.0,36.0,94.0,31.0,93.0,38.0,59.0,41.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
00:00:06:753,96,54.0,1.0,39.0,12700.0,0.0,0.0,12800.0,0.0,0.0,-33.0,48.0,186.0,64.0,11.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,82.0,62.0,51.0,78.0,95.0,36.0,94.0,31.0,93.0,38.0,59.0,41.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
00:00:06:805,96,54.0,1.0,39.0,12900.0,0.0,0.0,12800.0,0.0,0.0,-33.0,48.0,25.0,11.0,0.0,30.0,30.0,22.0,30.0,-30.0,3.0,3.0,82.0,62.0,51.0,78.0,95.0,36.0,94.0,31.0,93.0,38.0,59.0,41.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
00:00:06:858,96,54.0,1.0,39.0,12900.0,0.0,0.0,13000.0,0.0,0.0,52.0,-11.0,25.0,11.0,19.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,82.0,62.0,51.0,78.0,95.0,36.0,94.0,31.0,93.0,38.0,59.0,41.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
00:00:06:911,96,54.0,1.0,39.0,13100.0,0.0,0.0,13000.0,0.0,0.0,52.0,-11.0,181.0,66.0,0.0,30.0,30.0,20.0,30.0,-30.0,3.0,3.0,82.0,62.0,51.0,78.0,95.0,36.0,94.0,31.0,93.0,38.0,59.0,41.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
00:00:06:962,96,54.0,1.0,39.0,13100.0,0.0,0.0,13200.0,0.0,0.0,145.0,38.0,181.0,66.0,25.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,82.0,62.0,51.0,78.0,95.0,36.0,94.0,31.0,93.0,38.0,59.0,41.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
00:00:07:015,96,54.0,1.0,39.0,13300.0,0.0,0.0,13200.0,0.0,0.0,145.0,38.0,217.0,50.0,0.0,30.0,30.0,11.0,30.0,-30.0,3.0,3.0,82.0,62.0,51.0,78.0,95.0,36.0,94.0,31.0,93.0,38.0,59.0,41.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
00:00:07:037,96,73.0,18.0,29.0,13300.0,0.0,0.0,13200.0,0.0,0.0,145.0,38.0,217.0,50.0,0.0,30.0,30.0,11.0,30.0,-30.0,3.0,3.0,74.0,20.0,64.0,2.0,43.0,0.0,13.0,92.0,96.0,28.0,13.0,40.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
00:00:07:068,96,73.0,18.0,29.0,13300.0,0.0,0.0,13400.0,0.0,0.0,-27.0,63.0,217.0,50.0,18.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,74.0,20.0,64.0,2.0,43.0,0.0,13.0,92.0,96.0,28.0,13.0,40.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
00:00:07:119,96,73.0,18.0,29.0,13500.0,0.0,0.0,13400.0,0.0,0.0,-27.0,63.0,46.0,-3.0,0.0,30.0,30.0,16.0,30.0,-30.0,3.0,3.0,74.0,20.0,64.0,2.0,43.0,0.0,13.0,92.0,96.0,28.0,13.0,40.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
00:00:07:171,96,73.0,18.0,29.0,13500.0,0.0,0.0,13600.0,0.0,0.0,-72.0,-76.0,46.0,-3.0,29.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,74.0,20.0,64.0,2.0,43.0,0.0,13.0,92.0,96.0,28.0,13.0,40.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
00:00:07:226,96,73.0,18.0,29.0,13700.0,0.0,0.0,13600.0,0.0,0.0,-72.0,-76.0,104.0,24.0,0.0,30.0,30.0,25.0,30.0,-30.0,3.0,3.0,74.0,20.0,64.0,2.0,43.0,0.0,13.0,92.0,96.0,28.0,13.0,40.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
00:00:07:280,96,73.0,18.0,29.0,13700.0,0.0,0.0,13800.0,0.0,0.0,38.0,73.0,104.0,24.0,27.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,74.0,20.0,64.0,2.0,43.0,0.0,13.0,92.0,96.0,28.0,13.0,40.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
00:00:07:333,96,73.0,18.0,29.0,13900.0,0.0,0.0,13800.0,0.0,0.0,38.0,73.0,64.0,-8.0,0.0,30.0,30.0,20.0,30.0,-30.0,3.0,3.0,74.0,20.0,64.0,2.0,43.0,0.0,13.0,92.0,96.0,28.0,13.0,40.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
00:00:07:387,96,73.0,18.0,29.0,13900.0,0.0,0.0,14000.0,0.0,0.0,-41.0,-68.0,64.0,-8.0,25.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,74.0,20.0,64.0,2.0,43.0,0.0,13.0,92.0,96.0,28.0,13.0,40.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
00:00:07:440,96,73.0,18.0,29.0,14100.0,0.0,0.0,14000.0,0.0,0.0,-41.0,-68.0,43.0,10.0,0.0,30.0,30.0,27.0,30.0,-30.0,3.0,3.0,74.0,20.0,64.0,2.0,43.0,0.0,13.0,92.0,96.0,28.0,13.0,40.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
00:00:07:493,96,73.0,18.0,29.0,14100.0,0.0,0.0,14200.0,0.0,0.0,100.0,34.0,43.0,10.0,29.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,74.0,20.0,64.0,2.0,43.0,0.0,13.0,92.0,96.0,28.0,13.0,40.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
00:00:07:540,96,41.0,43.0,99.0,14100.0,0.0,0.0,14200.0,0.0,0.0,100.0,34.0,43.0,10.0,29.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,10.0,29.0,81.0,7.0,43.0,19.0,14.0,41.0,40.0,4.0,9.0,48.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
00:00:07:561,96,41.0,43.0,99.0,14300.0,0.0,0.0,14200.0,0.0,0.0,100.0,34.0,149.0,-20.0,0.0,30.0,30.0,30.0,30.0,-30.0,3.0,3.0,10.0,29.0,81.0,7.0,43.0,19.0,14.0,41.0,40.0,4.0,9.0,48.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
00:00:07:597,96,41.0,43.0,99.0,14300.0,0.0,0.0,14400.0,0.0,0.0,113.0,-52.0,149.0,-20.0,17.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,10.0,29.0,81.0,7.0,43.0,19.0,14.0,41.0,40.0,4.0,9.0,48.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
00:00:07:649,96,41.0,43.0,99.0,14500.0,0.0,0.0,14400.0,0.0,0.0,113.0,-52.0,138.0,69.0,0.0,30.0,30.0,17.0,30.0,-30.0,3.0,3.0,10.0,29.0,81.0,7.0,43.0,19.0,14.0,41.0,40.0,4.0,9.0,48.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
00:00:07:703,96,41.0,43.0,99.0,14500.0,0.0,0.0,14600.0,0.0,0.0,199.0,-70.0,138.0,69.0,13.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,10.0,29.0,81.0,7.0,43.0,19.0,14.0,41.0,40.0,4.0,9.0,48.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
00:00:07:754,96,41.0,43.0,99.0,14700.0,0.0,0.0,14600.0,0.0,0.0,199.0,-70.0,105.0,-60.0,0.0,30.0,30.0,27.0,30.0,-30.0,3.0,3.0,10.0,29.0,81.0,7.0,43.0,19.0,14.0,41.0,40.0,4.0,9.0,48.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
00:00:07:806,96,41.0,43.0,99.0,14700.0,0.0,0.0,14800.0,0.0,0.0,214.0,-39.0,105.0,-60.0,17.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,10.0,29.0,81.0,7.0,43.0,19.0,14.0,41.0,40.0,4.0,9.0,48.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
00:00:07:859,96,41.0,43.0,99.0,14900.0,0.0,0.0,14800.0,0.0,0.0,214.0,-39.0,76.0,-65.0,0.0,30.0,30.0,22.0,30.0,-30.0,3.0,3.0,10.0,29.0,81.0,7.0,43.0,19.0,14.0,41.0,40.0,4.0,9.0,48.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
00:00:07:911,96,41.0,43.0,99.0,14900.0,0.0,0.0,15000.0,0.0,0.0,174.0,13.0,76.0,-65.0,12.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,10.0,29.0,81.0,7.0,43.0,19.0,14.0,41.0,40.0,4.0,9.0,48.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
00:00:07:966,96,41.0,43.0,99.0,15100.0,0.0,0.0,15000.0,0.0,0.0,174.0,13.0,144.0,55.0,0.0,30.0,30.0,11.0,30.0,-30.0,3.0,3.0,10.0,29.0,81.0,7.0,43.0,19.0,14.0,41.0,40.0,4.0,9.0,48.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
00:00:08:011,95,41.0,43.0,99.0,15100.0,0.0,0.0,15000.0,0.0,0.0,174.0,13.0,144.0,55.0,0.0,30.0,30.0,11.0,30.0,-30.0,3.0,3.0,10.0,29.0,81.0,7.0,43.0,19.0,14.0,41.0,40.0,4.0,9.0,48.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
00:00:08:025,95,41.0,43.0,99.0,15100.0,0.0,0.0,15200.0,0.0,0.0,7.0,5.0,144.0,55.0,22.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,10.0,29.0,81.0,7.0,43.0,19.0,14.0,41.0,40.0,4.0,9.0,48.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
00:00:08:045,95,74.0,54.0,26.0,15100.0,0.0,0.0,15200.0,0.0,0.0,7.0,5.0,144.0,55.0,22.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,77.0,36.0,31.0,43.0,46.0,44.0,39.0,2.0,96.0,53.0,84.0,40.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
00:00:08:076,95,74.0,54.0,26.0,15300.0,0.0,0.0,15200.0,0.0,0.0,7.0,5.0,-6.0,-80.0,0.0,30.0,30.0,20.0,30.0,-30.0,3.0,3.0,77.0,36.0,31.0,43.0,46.0,44.0,39.0,2.0,96.0,53.0,84.0,40.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
00:00:08:186,95,74.0,54.0,26.0,15300.0,0.0,0.0,15400.0,0.0,0.0,151.0,-58.0,-6.0,-80.0,10.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,77.0,36.0,31.0,43.0,46.0,44.0,39.0,2.0,96.0,53.0,84.0,40.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
00:00:08:186,95,74.0,54.0,26.0,15500.0,0.0,0.0,15400.0,0.0,0.0,151.0,-58.0,188.0,-55.0,0.0,30.0,30.0,15.0,30.0,-30.0,3.0,3.0,77.0,36.0,31.0,43.0,46.0,44.0,39.0,2.0,96.0,53.0,84.0,40.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
00:00:08:231,95,74.0,54.0,26.0,15500.0,0.0,0.0,15600.0,0.0,0.0,100.0,32.0,188.0,-55.0,18.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,77.0,36.0,31.0,43.0,46.0,44.0,39.0,2.0,96.0,53.0,84.0,40.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
00:00:08:283,95,74.0,54.0,26.0,15700.0,0.0,0.0,15600.0,0.0,0.0,100.0,32.0,217.0,41.0,0.0,30.0,30.0,16.0,30.0,-30.0,3.0,3.0,77.0,36.0,31.0,43.0,46.0,44.0,39.0,2.0,96.0,53.0,84.0,40.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
00:00:08:335,95,74.0,54.0,26.0,15700.0,0.0,0.0,15800.0,0.0,0.0,144.0,62.0,217.0,41.0,25.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,77.0,36.0,31.0,43.0,46.0,44.0,39.0,2.0,96.0,53.0,84.0,40.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
00:00:08:386,95,74.0,54.0,26.0,15900.0,0.0,0.0,15800.0,0.0,0.0,144.0,62.0,235.0,38.0,0.0,30.0,30.0,13.0,30.0,-30.0,3.0,3.0,77.0,36.0,31.0,43.0,46.0,44.0,39.0,2.0,96.0,53.0,84.0,40.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
00:00:08:440,95,74.0,54.0,26.0,15900.0,0.0,0.0,16000.0,0.0,0.0,101.0,-11.0,235.0,38.0,20.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,77.0,36.0,31.0,43.0,46.0,44.0,39.0,2.0,96.0,53.0,84.0,40.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
00:00:08:491,95,74.0,54.0,26.0,16100.0,0.0,0.0,16000.0,0.0,0.0,101.0,-11.0,-13.0,7.0,0.0,30.0,30.0,11.0,30.0,-30.0,3.0,3.0,77.0,36.0,31.0,43.0,46.0,44.0,39.0,2.0,96.0,53.0,84.0,40.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
00:00:08:543,95,74.0,54.0,26.0,16100.0,0.0,0.0,16200.0,0.0,0.0,214.0,-42.0,-13.0,7.0,25.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,77.0,36.0,31.0,43.0,46.0,44.0,39.0,2.0,96.0,53.0,84.0,40.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
00:00:08:566,95,1.0,14.0,73.0,16100.0,0.0,0.0,16200.0,0.0,0.0,214.0,-42.0,-13.0,7.0,25.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,48.0,34.0,54.0,95.0,60.0,21.0,3.0,12.0,55.0,29.0,78.0,62.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
00:00:08:595,95,1.0,14.0,73.0,16300.0,0.0,0.0,16200.0,0.0,0.0,214.0,-42.0,151.0,-22.0,0.0,30.0,30.0,24.0,30.0,-30.0,3.0,3.0,48.0,34.0,54.0,95.0,60.0,21.0,3.0,12.0,55.0,29.0,78.0,62.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
00:00:08:648,95,1.0,14.0,73.0,16300.0,0.0,0.0,16400.0,0.0,0.0,103.0,70.0,151.0,-22.0,18.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,48.0,34.0,54.0,95.0,60.0,21.0,3.0,12.0,55.0,29.0,78.0,62.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
00:00:08:700,95,1.0,14.0,73.0,16500.0,0.0,0.0,16400.0,0.0,0.0,103.0,70.0,124.0,-26.0,0.0,30.0,30.0,11.0,30.0,-30.0,3.0,3.0,48.0,34.0,54.0,95.0,60.0,21.0,3.0,12.0,55.0,29.0,78.0,62.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
00:00:08:763,95,1.0,14.0,73.0,16500.0,0.0,0.0,16600.0,0.0,0.0,200.0,-78.0,124.0,-26.0,26.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,48.0,34.0,54.0,95.0,60.0,21.0,3.0,12.0,55.0,29.0,78.0,62.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
00:00:08:822,95,1.0,14.0,73.0,16700.0,0.0,0.0,16600.0,0.0,0.0,200.0,-78.0,206.0,-78.0,0.0,30.0,30.0,17.0,30.0,-30.0,3.0,3.0,48.0,34.0,54.0,95.0,60.0,21.0,3.0,12.0,55.0,29.0,78.0,62.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
00:00:08:861,95,1.0,14.0,73.0,16700.0,0.0,0.0,16800.0,0.0,0.0,232.0,-56.0,206.0,-78.0,16.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,48.0,34.0,54.0,95.0,60.0,21.0,3.0,12.0,55.0,29.0,78.0,62.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
00:00:08:913,95,1.0,14.0,73.0,16900.0,0.0,0.0,16800.0,0.0,0.0,232.0,-56.0,105.0,1.0,0.0,30.0,30.0,12.0,30.0,-30.0,3.0,3.0,48.0,34.0,54.0,95.0,60.0,21.0,3.0,12.0,55.0,29.0,78.0,62.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
00:00:08:964,95,1.0,14.0,73.0,16900.0,0.0,0.0,17000.0,0.0,0.0,47.0,-58.0,105.0,1.0,21.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,48.0,34.0,54.0,95.0,60.0,21.0,3.0,12.0,55.0,29.0,78.0,62.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
00:00:09:016,95,1.0,14.0,73.0,17100.0,0.0,0.0,17000.0,0.0,0.0,47.0,-58.0,21.0,-24.0,0.0,30.0,30.0,19.0,30.0,-30.0,3.0,3.0,48.0,34.0,54.0,95.0,60.0,21.0,3.0,12.0,55.0,29.0,78.0,62.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
00:00:09:047,95,19.0,14.0,98.0,17100.0,0.0,0.0,17000.0,0.0,0.0,47.0,-58.0,21.0,-24.0,0.0,30.0,30.0,19.0,30.0,-30.0,3.0,3.0,31.0,45.0,4.0,97.0,87.0,91.0,74.0,19.0,88.0,95.0,7.0,91.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
00:00:09:069,95,19.0,14.0,98.0,17100.0,0.0,0.0,17200.0,0.0,0.0,216.0,-59.0,21.0,-24.0,29.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,31.0,45.0,4.0,97.0,87.0,91.0,74.0,19.0,88.0,95.0,7.0,91.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
00:00:09:121,95,19.0,14.0,98.0,17300.0,0.0,0.0,17200.0,0.0,0.0,216.0,-59.0,142.0,50.0,0.0,30.0,30.0,13.0,30.0,-30.0,3.0,3.0,31.0,45.0,4.0,97.0,87.0,91.0,74.0,19.0,88.0,95.0,7.0,91.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
00:00:09:173,95,19.0,14.0,98.0,17300.0,0.0,0.0,17400.0,0.0,0.0,145.0,39.0,142.0,50.0,25.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,31.0,45.0,4.0,97.0,87.0,91.0,74.0,19.0,88.0,95.0,7.0,91.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
00:00:09:226,95,19.0,14.0,98.0,17500.0,0.0,0.0,17400.0,0.0,0.0,145.0,39.0,-45.0,31.0,0.0,30.0,30.0,12.0,30.0,-30.0,3.0,3.0,31.0,45.0,4.0,97.0,87.0,91.0,74.0,19.0,88.0,95.0,7.0,91.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
